Oscar Wilde
Emily Dickinson
George Eliot
Ralph Waldo Emerson
Haruki Murakami
William Shakespeare
Plato
Emily Dickinson
Sylvia Plath
C.S. Lewis
Ernest Hemingway
Voltaire
Stephanie Bennett Henry
Brene Brown
Stephen King
William Faulkner
Ernest Hemingway
Herman Melville
John Steinbeck
John Green
Ernest Gaines
Ursula K. Le Guin
Annie Proulx
Rainer Maria Rilke
Albert Camus
Eugene Ionesco
William Faulkner
Friedrich Nietzsche
Meg Rosoff
Jane Austen
Octavia E. Butler
Jodi Picoult
Annie Dillard
Toni Morrison
Paulo Coelho
Virginia Woolf
George Eliot
Mark Twain
Kurt Vonnegut
Neil Gaiman
Franz Kafka
Mark Twain
Mark Twain
E. E. Cummings
Jack Kerouac
Maya Angelou
Alice Walker
Sylvia Plath
Margaret Atwood
Margaret Atwood
Aristotle
